,mnist,musk,optdigits,pendigits,satimage-2
KNN,0.408,0.958,0.0,0.168,0.941
AvgKNN,0.42,0.694,0.0,0.149,0.717
MedKNN,0.419,0.704,0.0,0.12,0.612
PCA,0.379,1.0,0.0,0.368,0.887
MCD,0.292,0.988,0.0,0.093,0.627
HBOS,0.096,1.0,0.232,0.335,0.773
ABOD,0.426,0.126,0.005,0.087,0.27
FeatureBagging,0.326,0.255,0.058,0.075,0.018
