,mnist,musk,optdigits,pendigits,satimage-2
One-class SVM (OCSVM),0.8777200000000001,1.0,0.6034200000000001,0.9642999999999999,0.9963599999999999
Local Outlier Factor (LOF),0.9365200000000001,1.0,0.91218,0.9794799999999999,0.99702
Isolation Forest,0.8655199999999998,0.98884,0.84948,0.9760200000000001,0.9924399999999999
AutoEncoder,0.9032599999999998,1.0,0.5681999999999999,0.9427199999999999,0.97804
DeepSVDD,0.7120200000000001,1.0,0.52062,0.40054,0.5118400000000001
