,mnist,musk,optdigits,pendigits,satimage-2
One-class SVM (OCSVM),0.44394,1.0,0.0,0.44197999999999993,0.9286999999999999
Local Outlier Factor (LOF),0.6176999999999999,1.0,0.013519999999999999,0.44326,0.8514799999999999
Isolation Forest,0.41854,0.68452,0.064,0.49382000000000004,0.86588
AutoEncoder,0.5549200000000001,1.0,0.0,0.34414,0.83726
DeepSVDD,0.52176,1.0,0.28556,0.016220000000000002,0.09105999999999999
