,mnist,musk,optdigits,pendigits,satimage-2
KNN,0.421,0.34,0.0,0.132,0.332
AvgKNN,0.411,0.161,0.0,0.127,0.291
MedKNN,0.415,0.211,0.0,0.122,0.32
PCA,0.379,1.0,0.0,0.368,0.887
MCD,0.293,0.995,0.0,0.093,0.627
HBOS,0.116,0.993,0.227,0.338,0.752
ABOD,0.375,0.037,0.019,0.092,0.172
FeatureBagging,0.324,0.295,0.057,0.091,0.026
