,mnist,musk,optdigits,pendigits,satimage-2
KNN,0.842,0.817,0.391,0.77,0.944
AvgKNN,0.826,0.471,0.365,0.758,0.927
MedKNN,0.826,0.616,0.401,0.759,0.923
PCA,0.851,1.0,0.516,0.938,0.99
MCD,0.861,1.0,0.385,0.838,0.996
HBOS,0.581,1.0,0.874,0.918,0.988
ABOD,0.78,0.119,0.5,0.7,0.825
FeatureBagging,0.697,0.631,0.525,0.519,0.462
